Ticker,Model,WindowEnd,RSI_Trigger,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Legacy_Sharpe,Legacy_Delta,Base_Return,New_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held,Legacy_Days_Held
TSLA,LR,2024-01-01,50,0.12,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,222,222
TSLA,LR,2024-01-01,50,0.15,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,234,234
TSLA,LR,2024-01-01,50,0.2,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,269,269
TSLA,LR,2024-01-01,55,0.08,0.963,0.848,-0.115,0.848,-0.115,426.74,324.58,-63.12,-63.12,0.0,144,144
TSLA,LR,2024-01-01,55,0.12,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,222,222
TSLA,LR,2024-01-01,55,0.15,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,234,234
TSLA,LR,2024-01-01,55,0.2,0.963,1.011,0.048,1.011,0.048,426.74,538.82,-63.12,-63.12,0.0,269,269
TSLA,LR,2024-01-01,60,0.08,0.963,0.828,-0.135,0.828,-0.135,426.74,305.44,-63.12,-63.12,0.0,129,129
TSLA,LR,2024-01-01,60,0.12,0.963,0.992,0.029,0.992,0.029,426.74,510.02,-63.12,-63.12,0.0,207,207
TSLA,LR,2024-01-01,60,0.15,0.963,0.992,0.029,0.992,0.029,426.74,510.02,-63.12,-63.12,0.0,219,219
TSLA,LR,2024-01-01,60,0.2,0.963,0.992,0.029,0.992,0.029,426.74,510.02,-63.12,-63.12,0.0,254,254
TSLA,LR,2024-01-01,65,0.08,0.963,0.739,-0.224,0.739,-0.224,426.74,227.09,-63.12,-63.12,0.0,67,67
TSLA,LR,2024-01-01,65,0.12,0.963,0.777,-0.186,0.777,-0.186,426.74,258.51,-63.12,-63.12,0.0,95,95
TSLA,LR,2024-01-01,65,0.15,0.963,0.777,-0.186,0.777,-0.186,426.74,258.51,-63.12,-63.12,0.0,107,107
TSLA,LR,2024-01-01,65,0.2,0.963,0.777,-0.186,0.777,-0.186,426.74,258.51,-63.12,-63.12,0.0,141,141
TSLA,RF,2024-01-01,0,0.08,0.401,0.985,0.584,1.259,0.858,54.07,513.0,-64.38,-70.62,-6.24,636,906
TSLA,RF,2024-01-01,0,0.12,0.401,1.135,0.734,1.259,0.858,54.07,855.32,-64.38,-75.38,-11.0,759,955
TSLA,RF,2024-01-01,0,0.15,0.401,1.178,0.777,1.259,0.858,54.07,1001.68,-64.38,-74.68,-10.3,826,974
TSLA,RF,2024-01-01,0,0.2,0.401,1.235,0.834,1.259,0.858,54.07,1364.85,-64.38,-76.66,-12.28,936,1020
TSLA,RF,2024-01-01,50,0.08,0.401,1.185,0.784,1.388,0.987,54.07,857.37,-64.38,-64.36,0.02,511,607
TSLA,RF,2024-01-01,50,0.12,0.401,1.147,0.746,1.325,0.924,54.07,834.95,-64.38,-70.99,-6.61,617,674
TSLA,RF,2024-01-01,50,0.15,0.401,1.142,0.741,1.2,0.799,54.07,859.92,-64.38,-70.57,-6.19,704,718
TSLA,RF,2024-01-01,50,0.2,0.401,1.359,0.958,1.359,0.958,54.07,1795.24,-64.38,-73.6,-9.22,783,783
TSLA,RF,2024-01-01,55,0.08,0.401,1.319,0.918,1.575,1.174,54.07,1206.91,-64.38,-65.52,-1.14,475,550
TSLA,RF,2024-01-01,55,0.12,0.401,1.164,0.763,1.291,0.89,54.07,875.22,-64.38,-71.94,-7.56,593,619
TSLA,RF,2024-01-01,55,0.15,0.401,1.152,0.751,1.21,0.809,54.07,881.86,-64.38,-71.58,-7.2,672,686
TSLA,RF,2024-01-01,55,0.2,0.401,1.389,0.988,1.389,0.988,54.07,1960.24,-64.38,-74.16,-9.78,760,760
TSLA,RF,2024-01-01,60,0.08,0.401,1.214,0.813,1.413,1.012,54.07,883.43,-64.38,-70.56,-6.18,417,481
TSLA,RF,2024-01-01,60,0.12,0.401,1.061,0.66,1.103,0.702,54.07,637.08,-64.38,-75.69,-11.31,534,547
TSLA,RF,2024-01-01,60,0.15,0.401,1.02,0.619,1.08,0.679,54.07,585.53,-64.38,-80.0,-15.62,604,618
TSLA,RF,2024-01-01,60,0.2,0.401,1.248,0.847,1.248,0.847,54.07,1261.45,-64.38,-81.94,-17.56,693,693
TSLA,RF,2024-01-01,65,0.08,0.401,1.147,0.746,1.217,0.816,54.07,716.28,-64.38,-73.19,-8.81,357,377
TSLA,RF,2024-01-01,65,0.12,0.401,1.124,0.723,1.167,0.766,54.07,727.63,-64.38,-69.73,-5.35,446,459
TSLA,RF,2024-01-01,65,0.15,0.401,1.028,0.627,1.088,0.687,54.07,585.84,-64.38,-78.53,-14.15,544,558
