Ticker,Model,WindowEnd,Arm,Trail,Base_Sharpe,New_Sharpe,Delta_Sharpe,Base_Return,New_Return,Delta_Return,Base_MaxDD,New_MaxDD,Delta_MaxDD,Days_Held
JPM,RF,2024-01-01,buy_and_hold,,0.029,0.504,0.475,-2.91,77.35,80.26,-35.52,-43.63,-8.11,1108
JPM,RF,2024-01-01,trail_only,0.08,0.029,0.452,0.423,-2.91,60.4,63.31,-35.52,-45.59,-10.07,1057
JPM,RF,2024-01-01,trail_only,0.12,0.029,0.494,0.465,-2.91,69.96,72.87,-35.52,-43.36,-7.84,1091
JPM,RF,2024-01-01,trail_only,0.15,0.029,0.492,0.463,-2.91,69.88,72.79,-35.52,-46.03,-10.51,1094
JPM,RF,2024-01-01,trail_only,0.2,0.029,0.461,0.432,-2.91,63.76,66.67,-35.52,-43.51,-7.99,1103
JPM,LR,2023-01-01,buy_and_hold,,0.188,0.429,0.241,10.79,47.19,36.4,-35.54,-43.63,-8.09,983
JPM,LR,2023-01-01,trail_only,0.08,0.188,0.159,-0.029,10.79,6.32,-4.47,-35.54,-46.54,-11.0,868
JPM,LR,2023-01-01,trail_only,0.12,0.188,0.414,0.226,10.79,41.83,31.04,-35.54,-39.01,-3.47,932
JPM,LR,2023-01-01,trail_only,0.15,0.188,0.314,0.126,10.79,26.37,15.58,-35.54,-48.47,-12.93,953
JPM,LR,2023-01-01,trail_only,0.2,0.188,0.435,0.247,10.79,46.62,35.83,-35.54,-39.39,-3.85,963
JPM,RF,2023-01-01,buy_and_hold,,0.242,0.429,0.187,16.69,47.19,30.5,-39.5,-43.63,-4.13,983
JPM,RF,2023-01-01,trail_only,0.08,0.242,0.413,0.171,16.69,42.01,25.32,-39.5,-44.22,-4.72,949
JPM,RF,2023-01-01,trail_only,0.12,0.242,0.448,0.206,16.69,48.33,31.64,-39.5,-43.36,-3.86,969
JPM,RF,2023-01-01,trail_only,0.15,0.242,0.285,0.043,16.69,22.06,5.37,-39.5,-52.42,-12.92,952
JPM,RF,2023-01-01,trail_only,0.2,0.242,0.373,0.131,16.69,35.9,19.21,-39.5,-43.51,-4.01,978
JPM,LR,2022-01-01,buy_and_hold,,0.196,0.484,0.288,9.68,48.58,38.9,-37.01,-43.63,-6.62,857
JPM,LR,2022-01-01,trail_only,0.08,0.196,0.454,0.258,9.68,39.06,29.38,-37.01,-33.9,3.11,786
JPM,LR,2022-01-01,trail_only,0.12,0.196,0.411,0.215,9.68,33.84,24.16,-37.01,-40.3,-3.29,784
JPM,LR,2022-01-01,trail_only,0.15,0.196,0.496,0.3,9.68,46.77,37.09,-37.01,-37.96,-0.95,816
JPM,LR,2022-01-01,trail_only,0.2,0.196,0.47,0.274,9.68,43.83,34.15,-37.01,-39.39,-2.38,825
JPM,RF,2022-01-01,buy_and_hold,,0.482,0.484,0.002,41.53,48.58,7.05,-36.51,-43.63,-7.12,857
JPM,RF,2022-01-01,trail_only,0.08,0.482,0.659,0.177,41.53,73.34,31.81,-36.51,-34.27,2.24,830
JPM,RF,2022-01-01,trail_only,0.12,0.482,0.654,0.172,41.53,72.51,30.98,-36.51,-37.57,-1.06,845
JPM,RF,2022-01-01,trail_only,0.15,0.482,0.631,0.149,41.53,68.88,27.35,-36.51,-37.05,-0.54,849
JPM,RF,2022-01-01,trail_only,0.2,0.482,0.596,0.114,41.53,64.33,22.8,-36.51,-39.39,-2.88,853
JPM,LR,2021-01-01,buy_and_hold,,0.116,0.331,0.215,3.73,22.11,18.38,-31.01,-43.63,-12.62,731
JPM,LR,2021-01-01,trail_only,0.08,0.116,0.071,-0.045,3.73,-1.36,-5.09,-31.01,-33.9,-2.89,641
JPM,LR,2021-01-01,trail_only,0.12,0.116,-0.034,-0.15,3.73,-9.8,-13.53,-31.01,-41.25,-10.24,633
JPM,LR,2021-01-01,trail_only,0.15,0.116,0.263,0.147,3.73,14.86,11.13,-31.01,-37.96,-6.95,689
JPM,LR,2021-01-01,trail_only,0.2,0.116,0.199,0.083,3.73,7.96,4.23,-31.01,-39.39,-8.38,698
JPM,RF,2021-01-01,buy_and_hold,,0.465,0.331,-0.134,36.1,22.11,-13.99,-32.55,-43.63,-11.08,731
JPM,RF,2021-01-01,trail_only,0.08,0.465,0.446,-0.019,36.1,35.57,-0.53,-32.55,-34.27,-1.72,705
JPM,RF,2021-01-01,trail_only,0.12,0.465,0.392,-0.073,36.1,29.09,-7.01,-32.55,-37.57,-5.02,719
JPM,RF,2021-01-01,trail_only,0.15,0.465,0.366,-0.099,36.1,26.13,-9.97,-32.55,-37.05,-4.5,725
JPM,RF,2021-01-01,trail_only,0.2,0.465,0.274,-0.191,36.1,15.79,-20.31,-32.55,-39.39,-6.84,724
IBM,LR,2024-01-01,buy_and_hold,,0.252,0.425,0.173,24.02,52.18,28.16,-35.72,-38.98,-3.26,1108
IBM,LR,2024-01-01,trail_only,0.08,0.252,0.402,0.15,24.02,46.58,22.56,-35.72,-34.36,1.36,1073
IBM,LR,2024-01-01,trail_only,0.12,0.252,0.487,0.235,24.02,61.33,37.31,-35.72,-31.96,3.76,1089
IBM,LR,2024-01-01,trail_only,0.15,0.252,0.509,0.257,24.02,65.04,41.02,-35.72,-31.56,4.16,1091
IBM,LR,2024-01-01,trail_only,0.2,0.252,0.424,0.172,24.02,50.75,26.73,-35.72,-32.9,2.82,1102
