Ticker,Period,Strategy,Total_Return,Market_Return,Vs_Market,Up_Day_Rate,Max_Drawdown,Sharpe_Ratio,Final_Value,Score
SJM,test,EMA Crossover,-35.57,30.33,-65.9,27.31,-47.66,-0.457,6442.91,-0.1426
SJM,test,SMA + RSI,47.94,30.33,17.61,23.2,-19.2,0.313,14794.26,0.4948
SJM,test,Bollinger Bands,3.31,30.33,-27.02,3.29,-11.91,-0.534,10331.36,0.0039
SJM,test,Logistic Regression,30.59,25.32,5.27,38.86,-34.72,0.177,13058.65,0.3455
SJM,test,Random Forest,-30.85,25.32,-56.17,32.59,-55.75,-0.458,6914.78,-0.158
T,train,Buy & Hold,24.36,24.43,-0.06,52.33,-31.43,0.239,12436.29,0.3739
T,train,SMA Crossover,19.44,24.43,-4.98,30.14,-31.52,0.228,11944.17,0.3583
T,train,EMA Crossover,8.16,24.43,-16.26,32.19,-25.78,0.098,10816.26,0.288
T,train,SMA + RSI,38.63,24.43,14.21,25.96,-28.16,0.465,13863.27,0.5253
T,train,Bollinger Bands,4.19,24.43,-20.24,3.7,-12.61,0.011,10418.59,0.276
T,train,Logistic Regression,-21.11,-11.66,-9.45,36.54,-28.38,-0.341,7888.98,0.0021
T,train,Random Forest,-33.05,-11.66,-21.38,37.96,-34.77,-0.633,6695.46,-0.1869
T,test,Buy & Hold,78.41,78.57,-0.16,51.47,-35.47,0.408,17841.14,0.5544
T,test,SMA Crossover,26.54,78.57,-52.02,29.5,-33.67,0.145,12654.34,0.3246
T,test,EMA Crossover,56.52,78.57,-22.05,33.33,-33.14,0.343,15651.76,0.4851
T,test,SMA + RSI,60.21,78.57,-18.36,25.12,-21.46,0.399,16020.76,0.5555
T,test,Bollinger Bands,-16.98,78.57,-95.54,3.08,-22.58,-0.909,8302.29,-0.2562
T,test,Logistic Regression,39.95,63.48,-23.53,43.73,-34.27,0.238,13994.55,0.3961
T,test,Random Forest,61.64,63.48,-1.83,35.65,-33.16,0.381,16164.49,0.5143
VZ,train,Buy & Hold,59.32,59.81,-0.49,51.16,-20.11,0.473,15932.17,0.5948
VZ,train,SMA Crossover,-8.35,59.81,-68.16,28.49,-25.55,-0.139,9164.97,0.1371
VZ,train,EMA Crossover,-24.75,59.81,-84.55,31.1,-40.19,-0.392,7525.44,-0.0661
VZ,train,SMA + RSI,-8.2,59.81,-68.01,23.97,-29.04,-0.16,9180.1,0.1165
VZ,train,Bollinger Bands,11.21,59.81,-48.6,4.52,-8.54,0.166,11121.34,0.3798
VZ,train,Logistic Regression,-6.6,23.36,-29.96,20.96,-25.06,-0.223,9340.16,0.1001
VZ,train,Random Forest,35.27,23.36,11.9,33.85,-15.0,0.681,13526.53,0.666
VZ,test,Buy & Hold,20.24,20.0,0.23,50.1,-41.21,0.111,12023.71,0.2724
VZ,test,SMA Crossover,-39.07,20.0,-59.07,23.0,-45.47,-0.711,6092.94,-0.27
VZ,test,EMA Crossover,-20.79,20.0,-40.79,25.39,-36.91,-0.418,7921.1,-0.0613
VZ,test,SMA + RSI,-35.11,20.0,-55.12,19.78,-42.08,-0.725,6488.52,-0.259
VZ,test,Bollinger Bands,-20.32,20.0,-40.32,3.83,-20.9,-1.176,7967.95,-0.3913
VZ,test,Logistic Regression,14.15,13.29,0.85,33.43,-38.02,0.029,11414.66,0.2287
VZ,test,Random Forest,-4.14,13.29,-17.43,33.84,-31.92,-0.177,9586.41,0.1075
PARA,train,Buy & Hold,4.28,4.33,-0.05,33.33,-7.23,-0.097,10428.28,0.2384
PARA,train,SMA Crossover,7.06,4.33,2.73,22.32,-4.4,0.079,10706.4,0.3404
PARA,train,EMA Crossover,6.16,4.33,1.83,23.19,-4.4,0.008,10616.01,0.3031
PARA,train,SMA + RSI,4.97,4.33,0.63,17.83,-3.24,-0.115,10496.79,0.2427
PARA,train,Bollinger Bands,-0.44,4.33,-4.77,1.3,-1.36,-2.733,9956.47,-1.0715
PARA,train,Logistic Regression,2.13,7.29,-5.16,4.36,-1.16,-1.152,10213.49,-0.2752
PARA,train,Random Forest,2.83,7.29,-4.47,9.66,-2.39,-0.579,10282.76,0.009
PARA,test,Buy & Hold,-100.0,-100.0,-0.0,36.32,-100.0,-1.51,0.16,-0.955
PARA,test,SMA Crossover,-47.01,-100.0,52.99,2.6,-52.83,-0.887,5298.86,-0.396
PARA,test,EMA Crossover,-41.05,-100.0,58.95,1.3,-42.45,-0.9,5895.19,-0.3595
PARA,test,SMA + RSI,-47.01,-100.0,52.99,2.6,-52.83,-0.887,5298.86,-0.396
PARA,test,Bollinger Bands,-68.33,-100.0,31.67,3.76,-79.92,-1.04,3166.86,-0.5964
PARA,test,Logistic Regression,-99.99,-100.0,0.01,34.08,-99.99,-2.262,0.95,-1.331
PARA,test,Random Forest,-99.96,-100.0,0.04,32.88,-99.96,-1.472,4.06,-0.9358
BMY,train,Buy & Hold,19.93,19.69,0.24,52.95,-39.3,0.217,11992.93,0.3305
BMY,train,SMA Crossover,-28.99,19.69,-48.68,30.82,-45.17,-0.276,7100.87,-0.0315
BMY,train,EMA Crossover,-33.07,19.69,-52.76,31.23,-48.66,-0.328,6692.76,-0.0761
BMY,train,SMA + RSI,-13.77,19.69,-33.45,26.16,-36.44,-0.12,8623.25,0.1031
BMY,train,Bollinger Bands,-12.9,19.69,-32.59,4.18,-21.38,-0.358,8709.76,0.0311
BMY,train,Logistic Regression,26.55,8.59,17.97,43.91,-25.52,0.426,12655.49,0.4895
BMY,train,Random Forest,32.81,8.59,24.22,40.37,-22.21,0.512,13280.51,0.555
BMY,test,Buy & Hold,32.68,32.2,0.48,49.76,-47.67,0.194,13267.96,0.3194
BMY,test,SMA Crossover,-4.34,32.2,-36.53,24.16,-42.98,-0.165,9566.38,0.0799
BMY,test,EMA Crossover,45.48,32.2,13.28,26.01,-23.15,0.289,14547.96,0.466
BMY,test,SMA + RSI,15.87,32.2,-16.33,20.26,-29.17,0.032,11586.87,0.2602
BMY,test,Bollinger Bands,-21.62,32.2,-53.81,2.67,-24.2,-1.356,7838.48,-0.4938
BMY,test,Logistic Regression,-28.77,26.8,-55.58,38.02,-54.49,-0.353,7122.72,-0.0975
BMY,test,Random Forest,-46.9,26.8,-73.7,34.96,-63.64,-0.723,5309.89,-0.3462
PFE,train,Buy & Hold,48.66,48.83,-0.17,50.07,-35.43,0.383,14866.31,0.4825
PFE,train,SMA Crossover,-8.48,48.83,-57.31,29.32,-29.01,-0.104,9151.94,0.144
PFE,train,EMA Crossover,-26.54,48.83,-75.37,31.1,-39.91,-0.371,7345.97,-0.0583
PFE,train,SMA + RSI,-8.41,48.83,-57.25,24.59,-25.45,-0.121,9158.57,0.1463
PFE,train,Bollinger Bands,6.67,48.83,-42.16,5.0,-12.0,0.061,10667.46,0.3078
PFE,train,Logistic Regression,-29.73,15.5,-45.23,31.59,-42.93,-0.613,7027.04,-0.1948
PFE,train,Random Forest,-11.49,15.5,-26.98,29.46,-32.98,-0.231,8851.15,0.0626
PFE,test,Buy & Hold,2.45,2.12,0.33,48.19,-58.96,0.019,10245.48,0.1375
PFE,test,SMA Crossover,-22.45,2.12,-24.57,21.63,-51.45,-0.372,7755.25,-0.0853
PFE,test,EMA Crossover,-19.78,2.12,-21.9,23.48,-50.07,-0.317,8022.23,-0.0483
PFE,test,SMA + RSI,-33.99,2.12,-36.11,18.75,-43.87,-0.639,6601.22,-0.2191
PFE,test,Bollinger Bands,-4.18,2.12,-6.31,3.22,-11.17,-0.583,9581.73,-0.0334
PFE,test,Logistic Regression,-4.43,-1.76,-2.67,29.39,-42.8,-0.149,9556.88,0.0882
PFE,test,Random Forest,12.73,-1.76,14.5,29.67,-32.85,0.013,11273.46,0.2334
CVS,train,Buy & Hold,-28.44,-28.78,0.35,50.48,-50.09,-0.118,7156.39,0.0339
CVS,train,SMA Crossover,-29.93,-28.78,-1.15,24.93,-53.4,-0.364,7006.74,-0.1021
CVS,train,EMA Crossover,-48.27,-28.78,-19.48,23.56,-58.7,-0.729,5173.35,-0.3371
CVS,train,SMA + RSI,-23.84,-28.78,4.95,21.37,-48.85,-0.31,7616.17,-0.0492
CVS,train,Bollinger Bands,-1.08,-28.78,27.71,4.79,-21.17,-0.078,9892.11,0.1953
CVS,train,Logistic Regression,15.9,-11.76,27.65,26.91,-19.44,0.281,11589.54,0.414
CVS,train,Random Forest,-14.59,-11.76,-2.84,29.75,-27.91,-0.222,8540.66,0.0761
CVS,test,Buy & Hold,99.35,98.4,0.95,52.29,-56.79,0.447,19934.78,0.5518
CVS,test,SMA Crossover,5.6,98.4,-92.8,27.24,-39.29,0.005,10559.72,0.1958
CVS,test,EMA Crossover,33.29,98.4,-65.11,31.83,-42.65,0.195,13328.94,0.3361
CVS,test,SMA + RSI,8.27,98.4,-90.12,21.29,-29.69,0.003,10827.49,0.229
CVS,test,Bollinger Bands,7.73,98.4,-90.67,3.22,-14.8,-0.19,10773.32,0.1761
CVS,test,Logistic Regression,-29.82,70.86,-100.67,27.16,-63.46,-0.356,7018.45,-0.128
CVS,test,Random Forest,-19.18,70.86,-90.04,35.72,-57.04,-0.177,8081.52,0.002
VTRS,train,Buy & Hold,-72.54,-72.64,0.1,50.14,-82.57,-0.361,2746.31,-0.2733
VTRS,train,SMA Crossover,-51.11,-72.64,21.52,21.16,-61.57,-0.44,4888.93,-0.2069
VTRS,train,EMA Crossover,-61.24,-72.64,11.39,16.3,-72.21,-0.681,3875.9,-0.3796
VTRS,train,SMA + RSI,-47.06,-72.64,25.57,18.29,-62.28,-0.435,5293.88,-0.1985
VTRS,train,Bollinger Bands,8.46,-72.64,81.09,4.59,-22.01,0.095,10845.67,0.2984
VTRS,train,Logistic Regression,-0.93,-63.55,62.63,35.27,-44.11,0.134,9907.19,0.2328
VTRS,train,Random Forest,-2.98,-63.55,60.57,34.28,-38.3,0.085,9701.89,0.2216
VTRS,test,Buy & Hold,33.7,31.76,1.94,49.08,-54.33,0.229,13370.02,0.3189
VTRS,test,SMA Crossover,-14.62,31.76,-46.37,25.12,-59.48,-0.113,8538.45,0.0358
VTRS,test,EMA Crossover,-17.68,31.76,-49.43,27.17,-60.85,-0.117,8232.44,0.0236
VTRS,test,SMA + RSI,-18.65,31.76,-50.41,20.19,-51.72,-0.206,8135.07,0.0045
VTRS,test,Bollinger Bands,-39.66,31.76,-71.42,2.87,-41.02,-1.373,6033.8,-0.5889
VTRS,test,Logistic Regression,-19.44,19.36,-38.8,20.89,-52.09,-0.203,8055.98,0.0033
VTRS,test,Random Forest,-4.56,19.36,-23.92,28.83,-28.54,-0.095,9543.8,0.1578
MMM,train,Buy & Hold,22.36,21.63,0.73,53.08,-51.2,0.226,12236.08,0.3041
MMM,train,SMA Crossover,9.47,21.63,-12.16,30.75,-44.66,0.118,10946.84,0.244
MMM,train,EMA Crossover,15.11,21.63,-6.52,31.85,-38.16,0.175,11511.09,0.3032
MMM,train,SMA + RSI,1.27,21.63,-20.36,24.93,-36.01,0.012,10127.0,0.2005
MMM,train,Bollinger Bands,-24.12,21.63,-45.75,3.01,-30.63,-0.754,7588.02,-0.2171
MMM,train,Logistic Regression,-21.72,-21.4,-0.32,42.78,-42.47,-0.286,7828.42,-0.0138
MMM,train,Random Forest,-9.58,-21.4,11.81,45.33,-43.64,-0.085,9041.72,0.1074
MMM,test,Buy & Hold,56.95,56.47,0.48,50.72,-54.07,0.306,15695.03,0.4047
MMM,test,SMA Crossover,5.57,56.47,-50.9,27.79,-43.89,-0.011,10557.24,0.174
MMM,test,EMA Crossover,8.07,56.47,-48.4,29.64,-42.47,0.018,10806.85,0.1977
MMM,test,SMA + RSI,-4.77,56.47,-61.23,23.55,-44.64,-0.126,9523.4,0.0935
MMM,test,Bollinger Bands,-3.38,56.47,-59.85,3.22,-13.07,-0.498,9662.11,0.005
MMM,test,Logistic Regression,61.61,49.76,11.86,39.83,-34.69,0.337,16161.34,0.4876
MMM,test,Random Forest,59.88,49.76,10.12,35.31,-41.0,0.353,15987.68,0.4733
EMR,train,Buy & Hold,36.18,36.33,-0.16,52.19,-50.77,0.298,13617.65,0.369
EMR,train,SMA Crossover,26.63,36.33,-9.7,29.38,-21.13,0.272,12662.94,0.4259
EMR,train,EMA Crossover,-1.08,36.33,-37.41,31.51,-30.98,0.013,9892.24,0.2114
EMR,train,SMA + RSI,30.53,36.33,-5.8,23.63,-17.49,0.321,13053.37,0.4691
EMR,train,Bollinger Bands,-41.61,36.33,-77.94,2.95,-41.76,-1.075,5839.08,-0.446
EMR,train,Logistic Regression,-5.37,8.85,-14.22,37.82,-52.32,0.024,9463.34,0.1443
EMR,train,Random Forest,-29.16,8.85,-38.01,31.87,-54.07,-0.355,7084.34,-0.098
EMR,test,Buy & Hold,165.5,163.32,2.18,52.43,-29.61,0.638,26550.48,0.8612
EMR,test,SMA Crossover,-7.41,163.32,-170.73,29.36,-36.72,-0.13,9258.85,0.11
EMR,test,EMA Crossover,9.34,163.32,-153.98,31.35,-32.6,0.021,10933.95,0.2314
EMR,test,SMA + RSI,-0.34,163.32,-163.66,24.16,-32.3,-0.087,9966.0,0.1589
